name,state,south,british,german,mobility
Jackson,Mississippi,True,29.722065,6.3272476,3.7534046
McComb,Mississippi,True,26.463886,5.451495,6.252972
Brookhaven,Mississippi,True,24.835886,4.781182,6.4295487
Jena,Louisiana,True,23.31241,5.3958817,12.642225
Natchez,Mississippi,True,24.586628,4.766621,4.874603
Vicksburg,Mississippi,True,26.143309,5.733508,3.1178207
New Orleans,Louisiana,True,15.207865,14.792228,5.1212864
Houma,Louisiana,True,13.937253,7.7581816,11.346915
Baton Rouge,Louisiana,True,22.316647,8.452179,6.0396895
Alexandria,Louisiana,True,26.064539,6.4920135,6.7212844
Lake Charles,Louisiana,True,22.477419,8.761622,9.711846
Lafayette,Louisiana,True,13.841242,7.3151565,9.505354
Monroe,Louisiana,True,27.10833,4.6967897,5.51851
Lake Providence,Louisiana,True,26.691982,2.9819076,5.730659
Magnolia,Arkansas,True,30.166037,6.3789763,6.0388947
Shreveport,Louisiana,True,24.181131,8.547918,5.2718506
Ruston,Louisiana,True,23.359674,4.660389,6.8827925
Many,Louisiana,True,21.938135,5.067915,15.160796
Crossett,Arkansas,True,25.70269,7.5304375,4.1538463
Pine Bluff,Arkansas,True,22.975327,7.6674995,4.282983
El Dorado,Arkansas,True,30.32598,5.910438,5.663305
Little Rock,Arkansas,True,30.362627,13.079253,5.3561716
Stuttgart,Arkansas,True,27.288876,9.248794,5.3962903
Searcy,Arkansas,True,34.722813,13.049041,8.910454
London,Kentucky,True,42.70013,6.9464116,6.3895307
Richmond,Kentucky,True,39.928715,10.272737,5.9086843
West Liberty,Kentucky,True,51.016808,7.6465616,6.843854
Hazard,Kentucky,True,49.41644,6.7463017,13.065937
Campbellsville,Kentucky,True,46.406303,7.22268,7.1428576
Somerset,Kentucky,True,46.079052,7.4430323,6.271451
Greenwood,Mississippi,True,25.713074,3.191189,3.311066
Clarksdale,Mississippi,True,26.618341,5.31298,2.7132504
Greenville,Mississippi,True,20.948305,3.3111837,2.210159
Jackson,Tennessee,True,34.069107,5.9787455,4.7488127
Dyersburg,Tennessee,True,29.843775,5.324875,4.311153
Lexington,Tennessee,True,34.42487,6.2702494,8.1659975
Tupelo,Mississippi,True,34.736515,5.8321247,4.357342
